par, sync, error
0.02, 0.479048, 0.176412
0.05, 0.45381, 0.136143
0.08, 0.405714, 0.105158
0.11, 0.368095, 0.100256
0.14, 0.389048, 0.111832
0.17, 0.31381, 0.128703
0.2, 0.392381, 0.14837
0.23, 0.287619, 0.118348
0.26, 0.333333, 0.0839312
0.29, 0.280952, 0.0599912
0.32, 0.202381, 0.0869592
0.35, 0.245238, 0.0337121
0.38, 0.187619, 0.0619951
0.41, 0.18619, 0.0603824
0.44, 0.168095, 0.0602113
0.47, 0.164286, 0.069966
0.5, 0.138571, 0.0677374
0.53, 0.0914286, 0.0543261
0.56, 0.115714, 0.0824782
0.59, 0.0485714, 0.04803
0.62, 0.0747619, 0.0736573
0.65, 0.0714286, 0.102611
0.68, 0.107143, 0.111362
0.71, 0.067619, 0.081325
0.74, 0.062381, 0.0335942
0.77, 0.0661905, 0.0581642
0.8, 0.0857143, 0.0397079
0.83, 0.118095, 0.0414039
0.86, 0.0647619, 0.0433272
0.89, 0.0695238, 0.0161507
0.92, 0.0909524, 0.0197872
0.95, 0.103333, 0.0198139
0.98, 0.0919048, 0.0295558
