par, sync
0.02, 0.479048
0.05, 0.45381
0.08, 0.405714
0.11, 0.368095
0.14, 0.389048
0.17, 0.31381
0.2, 0.392381
0.23, 0.287619
0.26, 0.333333
0.29, 0.280952
0.32, 0.202381
0.35, 0.245238
0.38, 0.187619
0.41, 0.18619
0.44, 0.168095
0.47, 0.164286
0.5, 0.138571
0.53, 0.0914286
0.56, 0.115714
0.59, 0.0485714
0.62, 0.0747619
0.65, 0.0714286
0.68, 0.107143
0.71, 0.067619
0.74, 0.062381
0.77, 0.0661905
0.8, 0.0857143
0.83, 0.118095
0.86, 0.0647619
0.89, 0.0695238
0.92, 0.0909524
0.95, 0.103333
0.98, 0.0919048
